cust_id,age,occupation,risk_tolerance,investment_goals,education,marital_status,dependents,region,financial_history,sector,income_level,account_balance,account_deposits,account_withdrawals,account_transfers,international_transfers,account_investments,account_type,loan_amount,loan_purpose,employment_status,loan_term,interest_rate,loan_status
0001,57,Student,High,Wealth Preservation,Master's,Widowed,2,South America,Excellent,Retail,1238.809459,2114.474244,297.607082,629.1838523,512.0743518,146.9595834,165.2305413,checking,5000,Small Business,Self-Employed,48,0.0587,approved
0002,82,Lawyer,Medium,Wealth Preservation,High School,Widowed,2,Africa,Average,Manufacturing,926.192234,1000,263.318813,240.5910082,235.274133,1.692266414,113.4813706,savings,5000,Debt Consolidation,Unemployed,60,0.0517,approved
0003,52,Lawyer,High,Income Generation,High School,Married,1,Australia,Poor,Finance,4936.574196,2891.648562,508.9353881,152.6885302,684.9448384,6.446638794,519.304908,savings,5009.385587,Small Business,Employed,36,0.102209386,pending
0004,20,Teacher,High,Income Generation,High School,Married,3,Australia,Average,Technology,53199.32101,18633.85535,6462.045143,2202.029188,4540.232128,1043.503695,3483.356602,checking,50000,Auto Purchase,Employed,48,0.1446,pending
0005,45,Manager,High,Speculation,Master's,Divorced,0,North America,Excellent,Healthcare,2005.993354,1435.631492,487.7567231,110.7718005,169.9630189,48.48100314,471.6953762,credit,5000,Debt Consolidation,Employed,48,0.0541,approved
0006,72,Data Scientist,High,Income Generation,High School,Single,2,North America,Good,Retail,715.6639137,1000,285.1179771,183.8953517,203.7359342,30.57574226,308.7532096,checking,5000,Auto Purchase,Retired,48,0.0828,pending
0007,73,Retiree,Medium,Speculation,PhD,Widowed,4,Australia,Average,Healthcare,7421.681898,7835.131114,2153.746424,1414.450878,1078.644642,49.84154643,892.4525109,savings,5000,Debt Consolidation,Unemployed,36,0.0992,pending
0008,25,Teacher,Low,Speculation,Master's,Single,3,South America,Average,Manufacturing,741.1904924,1000,496.828024,143.9036276,148.6977492,1.863796868,59.90213101,checking,5000,Home Improvement,Self-Employed,60,0.0514,approved
0009,85,Engineer,High,Income Generation,PhD,Single,4,Australia,Good,Education,2004.813897,3781.812841,402.7234201,642.4237332,641.1242372,13.7507284,1397.956714,savings,5000,Auto Purchase,Self-Employed,60,0.0534,approved
0010,43,Artist,Low,Speculation,PhD,Married,0,Europe,Poor,Technology,34857.85797,67259.38788,30466.23732,18510.2004,7562.056816,841.0603096,12716.723,savings,33587.45353,Debt Consolidation,Employed,36,0.082587454,approved
0011,23,Lawyer,High,Speculation,PhD,Divorced,1,Africa,Excellent,Finance,14531.49832,19062.78629,8874.828333,4691.341783,1550.907172,240.9534023,2859.607232,savings,14013.96276,Small Business,Retired,60,0.089313963,pending
0012,52,Engineer,Medium,Growth,Master's,Divorced,2,Africa,Excellent,Healthcare,4470.636326,2184.035659,610.6477921,595.3567235,203.8225582,35.39470831,214.4519601,investment,5000,Home Improvement,Self-Employed,24,0.0887,pending
0013,71,Retiree,Low,Income Generation,Bachelor's,Widowed,2,South America,Poor,Healthcare,7409.12565,2078.069526,842.4297485,215.6391066,128.810986,31.75170058,249.2506549,checking,8453.434555,Auto Purchase,Self-Employed,24,0.051653435,approved
0014,18,Student,Medium,Income Generation,Master's,Single,4,Australia,Good,Technology,107228.9144,100000,29211.62444,8834.594679,19622.49208,1247.62374,17081.70226,investment,50000,Debt Consolidation,Employed,48,0.1262,pending
0015,45,Data Scientist,High,Wealth Preservation,PhD,Single,3,North America,Good,Manufacturing,403.9512828,1000,380.5763992,59.2102084,210.3529814,10.44893182,78.29832591,credit,5000,Home Improvement,Self-Employed,12,0.0869,pending
0016,58,Data Scientist,High,Wealth Preservation,High School,Single,4,Africa,Poor,Manufacturing,384.300647,1000,494.6983013,295.4696118,86.57520058,25.24341971,76.41417734,credit,5000,Auto Purchase,Self-Employed,12,0.0844,pending
0017,85,Artist,High,Wealth Preservation,High School,Divorced,0,South America,Poor,Healthcare,2721.189333,2424.291109,907.3418686,245.8285683,252.4415858,54.7338557,849.1385117,savings,5000,Home Improvement,Unemployed,48,0.0742,rejected
0018,25,Engineer,Medium,Income Generation,Master's,Divorced,3,Europe,Good,Education,831.6063593,1641.0847,784.3899283,173.8827001,107.0966524,30.77804995,319.0175856,investment,5000,Home Improvement,Unemployed,36,0.0643,approved
0019,84,Engineer,Medium,Wealth Preservation,Bachelor's,Divorced,0,Europe,Excellent,Technology,40505.17758,66348.25741,15963.86434,11734.16944,4036.706702,540.6642186,8018.657545,savings,30858.44612,Home Improvement,Employed,48,0.090158446,approved
0020,79,Student,Medium,Speculation,High School,Married,1,South America,Average,Education,1662.373858,3291.832842,612.9473926,548.7383721,345.8048175,55.90714278,500.5028405,savings,5000,Medical Expenses,Employed,60,0.0894,pending
0021,63,Doctor,Medium,Wealth Preservation,High School,Divorced,1,South America,Good,Retail,324.0647873,1000,498.8902039,153.006398,211.7465537,38.78505815,137.534556,credit,5000,Debt Consolidation,Retired,60,0.0854,pending
0022,52,Teacher,High,Speculation,PhD,Single,0,Asia,Excellent,Manufacturing,95.60213928,1000,154.286783,161.0585241,168.5691678,36.9662901,73.15549577,checking,5000,Auto Purchase,Unemployed,24,0.0983,rejected
0023,18,Doctor,Low,Income Generation,Bachelor's,Widowed,0,Europe,Excellent,Finance,22364.61274,27263.67703,8764.649873,1586.60813,1514.572952,6.381822024,4204.218713,savings,14522.35456,Medical Expenses,Unemployed,48,0.093822355,pending
0024,85,Artist,High,Growth,High School,Divorced,1,Europe,Average,Finance,19158.9743,15142.92326,2969.49606,1718.581838,3391.817369,870.975157,4979.329343,investment,21924.09142,Small Business,Employed,36,0.103824091,rejected
0025,25,Lawyer,Low,Speculation,High School,Divorced,0,South America,Poor,Retail,796.370547,1000,316.4810833,119.271051,88.25265695,0.393410825,140.4067435,savings,5000,Debt Consolidation,Retired,24,0.0479,approved
0026,84,Teacher,Medium,Income Generation,PhD,Single,0,Africa,Excellent,Finance,9785.325788,3703.029796,1037.660304,867.5833219,879.8855201,63.48858511,346.9114715,investment,7194.526512,Medical Expenses,Employed,12,0.076094527,rejected
0027,56,Manager,High,Speculation,Master's,Married,0,South America,Average,Education,1672.122775,2031.971395,974.421908,237.9186947,142.7100145,15.81959018,405.4603836,investment,5000,Home Improvement,Self-Employed,60,0.0721,rejected
0028,78,Lawyer,Medium,Income Generation,High School,Single,0,Asia,Excellent,Technology,39841.78934,27422.65735,4919.373726,7962.924101,2958.868839,492.3018189,3873.619204,credit,25893.69073,Auto Purchase,Self-Employed,48,0.076593691,approved
0029,20,Data Scientist,High,Growth,Master's,Widowed,2,Europe,Good,Manufacturing,738.1168451,1000,305.5201511,119.7138155,53.68153644,15.73505795,358.1669457,credit,5000,Debt Consolidation,Self-Employed,12,0.0983,pending
0030,61,Data Scientist,High,Speculation,Bachelor's,Divorced,0,North America,Poor,Healthcare,31026.23985,5533.564337,1487.592888,1522.801946,758.7876736,119.6503653,544.2786952,checking,6468.16767,Debt Consolidation,Retired,48,0.069968168,approved
0031,28,Teacher,Low,Income Generation,Master's,Married,1,Europe,Average,Technology,24068.81883,30731.68571,4554.473364,1768.505674,3253.195271,569.688727,5991.712956,savings,26482.57554,Small Business,Self-Employed,24,0.114882576,rejected
0032,40,Engineer,High,Income Generation,Master's,Single,3,Africa,Poor,Technology,75379.68942,100000,26408.77342,13009.74284,20043.16342,3221.584688,8734.549917,savings,50000,Medical Expenses,Unemployed,36,0.0946,approved
0033,42,Doctor,High,Wealth Preservation,Master's,Married,1,Asia,Average,Education,6302.965898,7299.105324,3127.016686,2171.166496,1383.927267,151.180804,2574.17222,checking,8213.769491,Auto Purchase,Retired,24,0.087313769,pending
0034,53,Doctor,High,Wealth Preservation,High School,Divorced,3,Africa,Poor,Technology,17088.42791,19579.36545,6127.3576,1214.147039,3163.193395,580.8637937,2701.002562,savings,19140.37506,Small Business,Unemployed,12,0.085840375,approved
0035,63,Engineer,Low,Income Generation,PhD,Divorced,2,North America,Excellent,Healthcare,1564.98336,1000,279.2786907,105.1993053,168.1818732,20.29336924,128.951856,checking,5000,Debt Consolidation,Employed,48,0.0715,rejected
0036,52,Retiree,Medium,Speculation,Master's,Single,1,Europe,Average,Technology,93458.38953,33914.2737,3526.325844,1978.563416,4918.976039,95.87002555,2212.191814,investment,50000,Auto Purchase,Unemployed,12,0.1067,approved
0037,52,Artist,Medium,Growth,Bachelor's,Single,3,North America,Poor,Manufacturing,124.9548899,1000,252.4561322,126.8311429,52.81737665,10.58423005,73.22890939,checking,5000,Small Business,Employed,60,0.0613,approved
0038,68,Manager,Low,Speculation,Master's,Single,0,South America,Poor,Manufacturing,417.4423118,1000,353.1122734,113.7936896,50.47626207,1.311621667,70.77470872,investment,5000,Debt Consolidation,Self-Employed,24,0.0667,approved
0039,23,Manager,High,Growth,PhD,Widowed,4,Asia,Average,Manufacturing,356.581545,1000,164.7581829,128.0172103,221.8665875,65.82951685,232.7466004,credit,5000,Auto Purchase,Self-Employed,48,0.0768,rejected
0040,65,Retiree,Medium,Growth,High School,Married,3,Europe,Good,Manufacturing,244.8586861,1000,279.3814609,241.3914007,147.6591657,3.512790878,99.33689506,credit,5000,Medical Expenses,Self-Employed,48,0.0922,pending
0041,30,Manager,Medium,Wealth Preservation,Master's,Single,1,Asia,Poor,Healthcare,5029.492377,1157.627119,506.7424746,189.8387493,129.5491187,5.285770293,87.15099495,checking,5000,Debt Consolidation,Employed,48,0.0795,rejected
0042,39,Retiree,Medium,Growth,PhD,Single,0,Australia,Good,Finance,46580.69531,71637.8333,18494.31506,17181.33162,14563.83281,4243.248758,12759.82058,savings,32885.19142,Home Improvement,Unemployed,48,0.092885191,approved
0043,53,Data Scientist,Medium,Speculation,High School,Married,1,South America,Excellent,Education,1219.302698,1906.287164,825.7580192,397.2047184,366.4116748,71.93456173,345.798559,checking,5000,Medical Expenses,Unemployed,60,0.0643,approved
0044,18,Teacher,Low,Speculation,High School,Single,1,Europe,Good,Healthcare,2048.518663,3324.766269,381.4974591,968.4643026,709.60166,189.4930736,354.3293447,checking,5000,Auto Purchase,Self-Employed,12,0.0513,approved
0045,38,Retiree,Medium,Income Generation,Master's,Divorced,3,Europe,Excellent,Finance,20574.92316,32128.87517,12169.02382,1659.482471,3498.23739,89.28576848,4484.982945,checking,12330.35255,Medical Expenses,Employed,48,0.095130353,rejected
0046,24,Artist,Low,Growth,High School,Divorced,2,Africa,Excellent,Healthcare,6415.014569,10323.60085,2667.11678,1837.871426,771.9952457,199.6713742,2051.364491,credit,9546.851461,Auto Purchase,Employed,36,0.087046851,rejected
0047,19,Engineer,High,Income Generation,Bachelor's,Single,1,Australia,Good,Manufacturing,161.9105186,1000,168.4509176,183.697083,194.7730662,55.89424261,143.5095716,savings,5000,Medical Expenses,Retired,12,0.0566,approved
0048,47,Artist,Medium,Growth,Master's,Widowed,4,Africa,Average,Finance,26985.9177,44936.29439,10918.22191,5959.485279,9934.19227,1017.374548,5856.456691,checking,11219.87188,Auto Purchase,Employed,60,0.054519872,approved
0049,42,Engineer,Medium,Income Generation,Master's,Single,1,Asia,Average,Healthcare,1577.739106,1005.624996,357.3532541,116.0607369,75.68710173,16.13224725,145.7244771,investment,5000,Auto Purchase,Self-Employed,12,0.0624,approved
0050,32,Doctor,High,Income Generation,Bachelor's,Married,2,South America,Average,Finance,25554.51225,39986.6953,15268.60199,7449.172138,3261.292881,249.1231473,11200.38935,investment,27755.62487,Home Improvement,Retired,36,0.091655625,approved
0051,67,Artist,Low,Speculation,PhD,Married,4,South America,Poor,Technology,154712.2667,100000,41902.71567,22704.01717,9914.425753,938.1554094,7492.553988,investment,50000,Medical Expenses,Self-Employed,60,0.1125,approved
0052,41,Data Scientist,High,Wealth Preservation,PhD,Divorced,0,South America,Average,Education,2973.632655,5320.480779,769.6546312,907.6938671,347.4129675,0.186104264,1802.734731,investment,5000,Home Improvement,Unemployed,24,0.0905,rejected
0053,83,Lawyer,Low,Income Generation,Bachelor's,Single,4,Asia,Poor,Technology,39164.84135,78132.12999,36814.13854,10214.06598,11937.24902,2922.192331,8956.110572,credit,11485.9314,Auto Purchase,Employed,36,0.067485931,approved
0054,72,Doctor,Medium,Income Generation,High School,Married,1,Africa,Poor,Finance,17978.48606,18273.67785,4292.612398,1059.42205,2726.645363,629.7099186,1496.012962,savings,9478.64389,Debt Consolidation,Retired,24,0.087678644,rejected
0055,75,Developer,Low,Speculation,High School,Married,4,Asia,Average,Retail,1786.55038,1268.173092,131.6526131,203.8171508,230.1026135,45.64298382,212.9541392,investment,5000,Auto Purchase,Retired,60,0.0866,rejected
