id,age,occupation,risk_tolerance,investment_goals,education,marital_status,dependents,region,financial_history,sector,income_level,Account_balance,Account_deposits,Account_withdrawals,Account_transfers,international_transfers,Account_investments,account_type,loan_amount,loan_purpose,employment_status,loan_term,interest_rate,loan_status
2bfad44e-e5a1-4f34-9083-66ea0f5469fe,57,Student,High,Wealth Preservation,Master's,Widowed,2,South America,Excellent,Retail,1238.809459,2114.474244,297.607082,629.1838523,512.0743518,146.9595834,165.2305413,checking,5000,Small Business,Self-Employed,48,0.0587,approved
6a5c2bb6-616c-4677-8c9d-d8610d9616d8,82,Lawyer,Medium,Wealth Preservation,High School,Widowed,2,Africa,Average,Manufacturing,926.192234,1000,263.318813,240.5910082,235.274133,1.692266414,113.4813706,savings,5000,Debt Consolidation,Unemployed,60,0.0517,approved
0fb622fd-8fb6-4d35-a939-cada096e1149,52,Lawyer,High,Income Generation,High School,Married,1,Australia,Poor,Finance,4936.574196,2891.648562,508.9353881,152.6885302,684.9448384,6.446638794,519.304908,savings,5009.385587,Small Business,Employed,36,0.102209386,pending
ccc87f75-abc5-4385-90c9-c476fc93cd7e,20,Teacher,High,Income Generation,High School,Married,3,Australia,Average,Technology,53199.32101,18633.85535,6462.045143,2202.029188,4540.232128,1043.503695,3483.356602,checking,50000,Auto Purchase,Employed,48,0.1446,pending
c652b79e-dfa2-4f42-887e-d580586c2ec0,45,Manager,High,Speculation,Master's,Divorced,0,North America,Excellent,Healthcare,2005.993354,1435.631492,487.7567231,110.7718005,169.9630189,48.48100314,471.6953762,credit,5000,Debt Consolidation,Employed,48,0.0541,approved
01b0f7eb-b32c-4b04-bd74-397116d05268,72,Data Scientist,High,Income Generation,High School,Single,2,North America,Good,Retail,715.6639137,1000,285.1179771,183.8953517,203.7359342,30.57574226,308.7532096,checking,5000,Auto Purchase,Retired,48,0.0828,pending
6c959d25-cc88-4e10-9e0e-8de94d1acb9a,73,Retiree,Medium,Speculation,PhD,Widowed,4,Australia,Average,Healthcare,7421.681898,7835.131114,2153.746424,1414.450878,1078.644642,49.84154643,892.4525109,savings,5000,Debt Consolidation,Unemployed,36,0.0992,pending
53ee23ba-0342-4f6c-ba03-851ce714c8f9,25,Teacher,Low,Speculation,Master's,Single,3,South America,Average,Manufacturing,741.1904924,1000,496.828024,143.9036276,148.6977492,1.863796868,59.90213101,checking,5000,Home Improvement,Self-Employed,60,0.0514,approved
aca5dfce-164b-48c7-aa29-56f2c14f6327,85,Engineer,High,Income Generation,PhD,Single,4,Australia,Good,Education,2004.813897,3781.812841,402.7234201,642.4237332,641.1242372,13.7507284,1397.956714,savings,5000,Auto Purchase,Self-Employed,60,0.0534,approved
e6528743-7c1e-40e9-96c8-8e70919e7bab,43,Artist,Low,Speculation,PhD,Married,0,Europe,Poor,Technology,34857.85797,67259.38788,30466.23732,18510.2004,7562.056816,841.0603096,12716.723,savings,33587.45353,Debt Consolidation,Employed,36,0.082587454,approved
f39db697-528a-4cb5-9f22-17885ddd9319,23,Lawyer,High,Speculation,PhD,Divorced,1,Africa,Excellent,Finance,14531.49832,19062.78629,8874.828333,4691.341783,1550.907172,240.9534023,2859.607232,savings,14013.96276,Small Business,Retired,60,0.089313963,pending
e31a7c7d-e516-4cb0-984d-1258668d95d7,52,Engineer,Medium,Growth,Master's,Divorced,2,Africa,Excellent,Healthcare,4470.636326,2184.035659,610.6477921,595.3567235,203.8225582,35.39470831,214.4519601,investment,5000,Home Improvement,Self-Employed,24,0.0887,pending
03e4a360-0b02-4c46-8fa5-a1672880c9e9,71,Retiree,Low,Income Generation,Bachelor's,Widowed,2,South America,Poor,Healthcare,7409.12565,2078.069526,842.4297485,215.6391066,128.810986,31.75170058,249.2506549,checking,8453.434555,Auto Purchase,Self-Employed,24,0.051653435,approved
6180f90e-b6b1-44b2-99da-c1cfe448f7e4,18,Student,Medium,Income Generation,Master's,Single,4,Australia,Good,Technology,107228.9144,100000,29211.62444,8834.594679,19622.49208,1247.62374,17081.70226,investment,50000,Debt Consolidation,Employed,48,0.1262,pending
867e546c-483f-48cf-9d81-69be7bc251eb,45,Data Scientist,High,Wealth Preservation,PhD,Single,3,North America,Good,Manufacturing,403.9512828,1000,380.5763992,59.2102084,210.3529814,10.44893182,78.29832591,credit,5000,Home Improvement,Self-Employed,12,0.0869,pending
bbebfb63-c867-4c2c-891b-89a95cc79e04,58,Data Scientist,High,Wealth Preservation,High School,Single,4,Africa,Poor,Manufacturing,384.300647,1000,494.6983013,295.4696118,86.57520058,25.24341971,76.41417734,credit,5000,Auto Purchase,Self-Employed,12,0.0844,pending
